URL|TITLE|CURRENCY|AMOUNT ASKED|AMOUNT RECEIVED|BACKERS|AVG AMOUNT|DAYS LEFT|LOCATION|CATEGORY|NUMBER OF WORDS|NUMBER OF PICS|NUMBER OF VIDEOS|NUMBER OF COMMENTS|NUMBER OF UPDATES|NUMBER OF REWARDS|AMOUNT OF REWARDS|NUMBER OF WORDS OF REWARDS
https://www.kickstarter.com/projects/olo3d/olo-the-first-ever-smartphone-3d-printer|OLO - The First Ever Smartphone 3D Printer. by OLO 3D Inc.|usd|80,000|2,321,811|16|145113|0|San Francisco, CA|Technology|1647|78|6|3|18|20|$19 USD, $29 USD, $39 USD, $49 USD, $69 USD, $73 USD, $79 USD, $89 USD, $99 USD, $99 USD, $103 USD, $119 USD, $129 USD, $133 USD, $239 USD, $999 USD, $2,499 USD, $6,499 USD, $9,999 USD, $9,999 USD|43, 51, 54, 58, 65, 22, 28, 27, 27, 45, 18, 36, 34, 18, 45, 64, 74, 59, 70, 83
https://www.kickstarter.com/projects/1351910088/3doodler-the-worlds-first-3d-printing-pen|3Doodler: The World's First 3D Printing Pen by WobbleWorks LLC.|usd|30,000|2,344,134|26|90159|0|Boston, MA|Hardware|1203|13|1|2|35|18|$1.00 USD, $25 USD, $50 USD, $75 USD, $75 USD, $75 USD, $75 USD, $75 USD, $99 USD, $99 USD, $99 USD, $99 USD, $99 USD, $125 USD, $220 USD, $220 USD, $1,000 USD, $10,000 USD|35, 47, 35, 29, 35, 35, 49, 36, 32, 38, 38, 52, 39, 46, 54, 54, 75, 49
https://www.kickstarter.com/projects/hello/sense-know-more-sleep-better|Sense: Know More. Sleep Better. by Hello|usd|100,000|2,410,741|19|126881|0|San Francisco, CA|Technology|1795|50|2|3|24|12|$1.00 USD, $25 USD, $50 USD, $99 USD, $129 USD, $149 USD, $189 USD, $249 USD, $399 USD, $639 USD, $1,000 USD, $5,000 USD|12, 12, 26, 18, 14, 18, 14, 14, 26, 26, 27, 50
https://www.kickstarter.com/projects/248983394/ossic-x-the-first-3d-audio-headphones-calibrated-t|OSSIC X: The first 3D audio headphones calibrated to you by OSSIC|usd|100,000|2,708,472|10|270847|0|San Diego, CA|Sound|1448|52|6|1|18|7|$5 USD, $25 USD, $199 USD, $219 USD, $249 USD, $279 USD, $999 USD|37, 20, 23, 20, 20, 21, 63
https://www.kickstarter.com/projects/tiko3d/tiko-the-unibody-3d-printer|Tiko - The Unibody 3D Printer by Tiko 3D|usd|100,000|2,950,874|16|184429|0|Niagara Falls, NY|3D Printing|2532|46|1|8|18|9|$18 USD, $99 USD, $139 USD, $179 USD, $179 USD, $179 USD, $179 USD, $179 USD, $179 USD|39, 31, 29, 48, 42, 42, 42, 42, 42
https://www.kickstarter.com/projects/readingrainbow/bring-reading-rainbow-back-for-every-child-everywh|Bring Reading Rainbow Back for Every Child, Everywhere! by LeVar Burton & Reading Rainbow|usd|1,000,000|5,408,916|105|51513|0|Los Angeles, CA|Web|1112|25|1|19|47|64|$5 USD, $10 USD, $25 USD, $30 USD, $35 USD, $50 USD, $75 USD, $100 USD, $110 USD, $125 USD, $140 USD, $145 USD, $150 USD, $175 USD, $200 USD, $200 USD, $250 USD, $250 USD, $275 USD, $300 USD, $300 USD, $300 USD, $300 USD, $350 USD, $350 USD, $350 USD, $375 USD, $375 USD, $400 USD, $400 USD, $400 USD, $450 USD, $500 USD, $500 USD, $500 USD, $600 USD, $700 USD, $750 USD, $750 USD, $750 USD, $750 USD, $750 USD, $750 USD, $800 USD, $800 USD, $800 USD, $800 USD, $800 USD, $800 USD, $900 USD, $1,200 USD, $1,500 USD, $1,700 USD, $2,500 USD, $2,600 USD, $3,000 USD, $3,500 USD, $3,500 USD, $3,500 USD, $3,750 USD, $5,000 USD, $10,000 USD, $10,000 USD, $10,000 USD|32, 30, 43, 72, 27, 30, 30, 30, 33, 30, 75, 83, 35, 48, 34, 27, 31, 115, 33, 65, 90, 90, 82, 45, 96, 48, 42, 46, 26, 46, 132, 28, 65, 70, 72, 38, 39, 80, 76, 78, 75, 101, 68, 63, 63, 62, 96, 96, 86, 70, 71, 50, 91, 65, 67, 60, 60, 80, 85, 66, 49, 77, 119, 95
https://www.kickstarter.com/projects/1003614822/ponomusic-where-your-soul-rediscovers-music|Pono Music - Where Your Soul Rediscovers Music by the PonoMusic Team|usd|800,000|6,225,354|18|345853|0|San Francisco, CA|Sound|3528|14|1|16|52|44|$5 USD, $50 USD, $100 USD, $200 USD, $300 USD, $300 USD, $300 USD, $300 USD, $400 USD, $400 USD, $400 USD, $400 USD, $400 USD, $400 USD, $400 USD, $400 USD, $400 USD, $400 USD, $400 USD, $400 USD, $400 USD, $400 USD, $400 USD, $400 USD, $400 USD, $400 USD, $400 USD, $400 USD, $400 USD, $400 USD, $400 USD, $400 USD, $400 USD, $400 USD, $400 USD, $400 USD, $400 USD, $400 USD, $400 USD, $400 USD, $5,000 USD, $5,000 USD, $5,000 USD, $5,000 USD|30, 43, 21, 25, 16, 16, 16, 16, 35, 35, 34, 37, 38, 36, 35, 35, 35, 35, 35, 35, 35, 35, 35, 36, 34, 37, 35, 35, 38, 36, 35, 35, 35, 36, 34, 35, 35, 35, 35, 34, 44, 47, 51, 45
https://www.kickstarter.com/projects/alpinelabs/pulse-your-camera-upgraded|Pulse - Your Camera, Upgraded. by Kris Cheng|usd|50,000|1,110,820|12|92568|0|San Francisco, CA|Camera Equipment|1185|29|3|812|6|5|$1.00 USD, $69 USD, $74 USD, $350 USD, $3,000 USD|16, 49, 38, 34, 86
https://www.kickstarter.com/projects/1425492550/sesame-your-key-reinvented|Sesame. Your key, reinvented. by CANDY HOUSE Inc.|usd|100,000|1,428,519|7|204074|0|Palo Alto, CA|Robots|751|28|1|5|33|10|$1.00 USD, $89 USD, $99 USD, $139 USD, $149 USD, $249 USD, $279 USD, $549 USD, $4,900 USD, $10,000 USD|14, 33, 31, 39, 37, 28, 33, 33, 29, 29
https://www.kickstarter.com/projects/avegantglyph/a-mobile-personal-theater-with-built-in-premium-au|Glyph: A Mobile Personal Theater With Built In Premium Audio by Avegant|usd|250,000|1,509,506|3|503168|0|Ann Arbor, MI|Hardware|2781|13|6|2|65|10|$5 USD, $10 USD, $25 USD, $50 USD, $499 USD, $499 USD, $999 USD, $1,999 USD, $4,999 USD, $9,999 USD|27, 27, 24, 24, 31, 14, 37, 54, 76, 23

https://www.kickstarter.com/projects/4422853/onewheel-the-self-balancing-electric-skateboard|Onewheel :: The Self-Balancing Electric Skateboard by Future Motion|usd|100,000|630,862|1|630862|0|Palo Alto, CA|Product Design|1626|41|1|1|33|12|$1.00 USD, $10 USD, $25 USD, $35 USD, $40 USD, $100 USD, $1,199 USD, $1,299 USD, $1,399 USD, $1,699 USD, $1,799 USD, $5,000 USD|16, 20, 20, 10, 11, 15, 24, 29, 39, 51, 33, 76



https://www.kickstarter.com/projects/692213374/the-porthole|The Porthole by Martin Kastner / Crucial Detail|usd|28,500|736,112|4|184028|0|Chicago, IL|Product Design|602|6|2|407|22|9|$25 USD, $75 USD, $85 USD, $95 USD, $175 USD, $250 USD, $375 USD, $700 USD, $5,000 USD|14, 46, 43, 31, 31, 39, 31, 31, 45





https://www.kickstarter.com/projects/thestandardsmanual/reissue-of-the-1975-nasa-graphics-standards-manual|Reissue of the 1975 NASA Graphics Standards Manual. by Jesse Reed & Hamish Smyth|usd|158,000|941,966|8|117745|0|New York, NY|Graphic Design|1589|54|1|317|11|4|$79 USD, $158 USD, $395 USD, $790 USD|3, 3, 3, 3

https://www.kickstarter.com/projects/lomography/the-lomoinstant-camera|The Lomo'Instant Camera by Lomography|usd|100,000|1,118,333|8|139791|0|New York, NY|Design|2807|42|1|1|34|46|$5 USD, $10 USD, $20 USD, $35 USD, $69 USD, $69 USD, $79 USD, $79 USD, $89 USD, $89 USD, $89 USD, $89 USD, $99 USD, $99 USD, $99 USD, $99 USD, $109 USD, $109 USD, $109 USD, $109 USD, $119 USD, $119 USD, $129 USD, $129 USD, $160 USD, $160 USD, $190 USD, $230 USD, $270 USD, $270 USD, $290 USD, $290 USD, $320 USD, $320 USD, $340 USD, $340 USD, $370 USD, $370 USD, $400 USD, $400 USD, $420 USD, $420 USD, $450 USD, $500 USD, $700 USD, $1,300 USD|26, 27, 32, 34, 33, 50, 49, 49, 62, 62, 49, 49, 49, 50, 60, 60, 60, 60, 50, 49, 60, 61, 61, 60, 70, 70, 70, 71, 75, 75, 75, 76, 73, 73, 73, 74, 83, 84, 72, 72, 72, 73, 83, 84, 120, 159


https://www.kickstarter.com/projects/barracuda/barracuda-collapsible-luggage-tray-gps-usb-charger|Barracuda: Collapsible Luggage + Tray + GPS + USB Charger by Barracuda|usd|20,000|1,252,222|3|417407|0|San Francisco, CA|Product Design|859|47|1|867|30|20|$1.00 USD, $145 USD, $190 USD, $210 USD, $230 USD, $240 USD, $245 USD, $250 USD, $330 USD, $340 USD, $360 USD, $380 USD, $385 USD, $390 USD, $550 USD, $560 USD, $875 USD, $890 USD, $930 USD, $980 USD|28, 24, 23, 23, 23, 23, 22, 22, 21, 51, 48, 48, 49, 49, 64, 64, 70, 70, 70, 70

https://www.kickstarter.com/projects/lomography/the-lomography-petzval-portrait-lens|The Lomography Petzval Portrait Lens by Lomography|usd|100,000|1,396,149|3|465383|0|New York, NY|Product Design|3253|23|1|1|41|23|$15 USD, $50 USD, $79 USD, $300 USD, $350 USD, $400 USD, $400 USD, $475 USD, $500 USD, $500 USD, $500 USD, $500 USD, $600 USD, $1,000 USD, $1,000 USD, $1,000 USD, $1,100 USD, $1,100 USD, $1,500 USD, $2,000 USD, $2,100 USD, $2,500 USD, $2,600 USD|43, 68, 73, 36, 36, 36, 52, 69, 116, 59, 47, 59, 129, 155, 155, 155, 166, 166, 280, 208, 226, 168, 192

https://www.kickstarter.com/projects/1708005089/pico-craft-beer-at-home|Pico - Craft Beer at Home by PicoBrew Inc|usd|200,000|1,403,359|1|1403359|0|Seattle, WA|Product Design|855|40|2|886|37|15|$1.00 USD, $20 USD, $499 USD, $549 USD, $559 USD, $575 USD, $599 USD, $639 USD, $649 USD, $1,299 USD, $1,699 USD, $2,099 USD, $2,999 USD, $3,200 USD, $6,000 USD|21, 6, 15, 18, 18, 18, 16, 14, 17, 20, 21, 28, 40, 23, 23
https://www.kickstarter.com/projects/ezelleron/kraftwerk-highly-innovative-portable-power-plant|kraftwerk - highly innovative portable power plant by eZelleron Inc.|usd|500,000|1,529,561|11|139051|0|Storrs, CT|Design|491|14|1|2|43|15|$5 USD, $20 USD, $49 USD, $79 USD, $99 USD, $99 USD, $139 USD, $189 USD, $249 USD, $250 USD, $750 USD, $1,000 USD, $5,000 USD, $7,500 USD, $10,000 USD|22, 19, 38, 28, 32, 29, 42, 28, 33, 30, 55, 38, 69, 77, 47


https://www.kickstarter.com/projects/peak-design/the-everyday-messenger-a-bag-for-cameras-and-essen|The Everyday Messenger: A Bag For Cameras & Essential Carry by Peak Design|usd|100,000|4,869,472|17|286439|0|San Francisco, CA|Product Design|2158|69|4|4|32|6|$30 USD, $195 USD, $225 USD, $375 USD, $620 USD, $5,500 USD|22, 22, 28, 107, 114, 99

https://www.kickstarter.com/projects/597507018/pebble-time-awesome-smartwatch-no-compromises|Pebble Time - Awesome Smartwatch, No Compromises by Pebble Technology|usd|500,000|20,338,986|78|260756|0|Palo Alto, CA|Product Design|2009|34|1|33|32|12|$159 USD, $179 USD, $179 USD, $250 USD, $250 USD, $338 USD, $400 USD, $480 USD, $480 USD, $845 USD, $1,690 USD, $5,000 USD|22, 20, 20, 28, 28, 13, 31, 29, 29, 13, 13, 36

https://www.kickstarter.com/projects/244127719/apex-wallet-relaunch|APEX Wallet - Relaunch! by MSTRMND Collective|usd|4,000|120,259|4|30064|0|Los Angeles, CA|Accessories|896|16|1|479|15|5|$1.00 USD, $22 USD, $22 USD, $44 USD, $66 USD|33, 20, 20, 26, 26

https://www.kickstarter.com/projects/victorathletics/victor-athletics-a-responsible-usa-made-clothing-c|Victor Athletics: A responsible, USA made clothing company by Victor Athletics|usd|100,000|123,002|1|123002|0|Cincinnati, OH|Apparel|464|34|1|96|22|16|$25 USD, $65 USD, $65 USD, $70 USD, $85 USD, $85 USD, $90 USD, $90 USD, $90 USD, $150 USD, $150 USD, $190 USD, $230 USD, $230 USD, $290 USD, $2,000 USD|16, 22, 16, 14, 22, 15, 14, 15, 14, 12, 12, 15, 13, 13, 17, 33









https://www.kickstarter.com/projects/124039987/enclave-eyewear-twentyandtwenty-line|enclave eyewear: twenty&twenty line by Daniel Kane|usd|9,700|181,998|3|60666|0|Santa Barbara, CA|Fashion|779|9|1|391|19|6|$25 USD, $30 USD, $55 USD, $105 USD, $180 USD, $250 USD|30, 16, 16, 16, 25, 20
https://www.kickstarter.com/projects/1850124313/atlas-performance-professional-comes-to-socks|ATLAS: Performance Professional Comes to Socks by Ministry of Supply|usd|30,000|204,601|3|68200|0|Boston, MA|Fashion|1099|11|2|280|14|8|$1.00 USD, $28 USD, $58 USD, $68 USD, $118 USD, $128 USD, $298 USD, $398 USD|9, 24, 31, 26, 32, 36, 23, 25




https://www.kickstarter.com/projects/yathletics/silverair-sock-odorless-socks-made-with-pure-silve|SilverAir Sock - Odorless Socks Made With Pure Silver by Y Athletics|usd|35,000|385,268|5|77053|0|Los Angeles, CA|Footwear|1005|20|1|526|19|10|$16 USD, $18 USD, $32 USD, $48 USD, $58 USD, $90 USD, $96 USD, $168 USD, $216 USD, $336 USD|23, 17, 12, 21, 30, 34, 27, 34, 41, 44
https://www.kickstarter.com/projects/harebrainedinc/period-panties|Period Panties by Harebrained Inc.|usd|10,000|404,763|9|44973|0|Chicago, IL|Fashion|223|8|1|520|21|14|$1.00 USD, $5 USD, $13 USD, $25 USD, $36 USD, $46 USD, $55 USD, $67 USD, $70 USD, $75 USD, $100 USD, $117 USD, $200 USD, $227 USD|5, 13, 12, 10, 10, 20, 13, 20, 18, 13, 19, 26, 19, 29
https://www.kickstarter.com/projects/acemarks/artisan-dress-shoes-reinvented-for-the-modern-gent|Artisan Dress Shoes Reinvented for the Modern Gentleman by Ace Marks|usd|20,000|574,368|2|287184|0|Miami, FL|Footwear|2156|92|3|616|17|16|$5 USD, $50 USD, $180 USD, $185 USD, $190 USD, $195 USD, $240 USD, $245 USD, $360 USD, $380 USD, $380 USD, $430 USD, $555 USD, $720 USD, $1,400 USD, $2,000 USD|34, 80, 107, 144, 137, 75, 71, 83, 107, 77, 137, 157, 77, 77, 94, 102
https://www.kickstarter.com/projects/magzook/magbelt-a-magnetic-belt-that-fits-perfectly-to-you|MAGBELT - A magnetic belt that fits perfectly to your waist. by Magzook Tightening Systems|usd|7,500|583,544|9|64838|0|Denver, CO|Accessories|630|30|1|1|16|14|$12 USD, $16 USD, $19 USD, $24 USD, $30 USD, $38 USD, $58 USD, $68 USD, $75 USD, $116 USD, $140 USD, $250 USD, $350 USD, $10,000 USD|18, 19, 37, 37, 28, 33, 81, 21, 30, 24, 22, 66, 26, 115



https://www.kickstarter.com/projects/371459661/black-lab-the-new-album|Black Lab: The New Album by Paul Durham|usd|28,000|72,391|1|72391|0|Los Angeles, CA|Rock|1471|18|9|218|17|23|$1.00 USD, $5 USD, $10 USD, $15 USD, $15 USD, $20 USD, $20 USD, $35 USD, $35 USD, $40 USD, $50 USD, $60 USD, $75 USD, $90 USD, $120 USD, $400 USD, $400 USD, $600 USD, $1,500 USD, $2,000 USD, $3,000 USD, $5,000 USD, $6,000 USD|11, 12, 24, 19, 11, 19, 16, 22, 29, 26, 70, 39, 44, 28, 46, 51, 50, 61, 132, 45, 57, 71, 78
https://www.kickstarter.com/projects/kidneythieves/kidneythieves-new-full-length-the-mend|Kidneythieves' new Full-Length, "THE MEND" by Kidneythieves|usd|45,000|75,342|1|75342|0|Los Angeles, CA|Electronic Music|1467|15|2|112|16|16|$5 USD, $12 USD, $25 USD, $40 USD, $40 USD, $55 USD, $70 USD, $95 USD, $95 USD, $150 USD, $225 USD, $500 USD, $1,200 USD, $5,000 USD, $5,000 USD, $7,500 USD|38, 29, 39, 32, 28, 31, 32, 33, 45, 38, 51, 91, 48, 63, 70, 201
https://www.kickstarter.com/projects/cobus/my-youtube-band-project|My YouTube Band Project by Drum Channel LLC|usd|35,000|79,937|680|117|0|Los Angeles, CA|Music|763|1|2|165|7|23|$5 USD, $15 USD, $25 USD, $25 USD, $40 USD, $40 USD, $55 USD, $75 USD, $100 USD, $150 USD, $175 USD, $200 USD, $250 USD, $300 USD, $300 USD, $400 USD, $500 USD, $1,000 USD, $1,100 USD, $1,100 USD, $2,000 USD, $3,000 USD, $10,000 USD|39, 64, 71, 71, 87, 86, 91, 58, 63, 45, 30, 65, 45, 41, 124, 61, 78, 124, 41, 53, 255, 87, 315
https://www.kickstarter.com/projects/567582528/andrew-landers-music|THANK YOU!! we reached our goal! by Andrew Landers|usd|80,000|81,855|189|433|0|Olympia, WA|Music|390|1|1|8|2|5|$1.00 USD, $500 USD, $1,000 USD, $5,000 USD, $10,000 USD|13, 32, 38, 30, 40
https://www.kickstarter.com/projects/viennateng/level-up-a-music-video-for-the-new-album-aims|Level Up: A Music Video For the New Album AIMS by Vienna Teng|usd|20,000|82,640|1|82640|0|Detroit, MI|Music|2847|1|4|63|27|23|$1.00 USD, $5 USD, $10 USD, $15 USD, $15 USD, $20 USD, $20 USD, $40 USD, $40 USD, $50 USD, $50 USD, $70 USD, $100 USD, $100 USD, $150 USD, $150 USD, $200 USD, $200 USD, $300 USD, $500 USD, $500 USD, $1,000 USD, $5,000 USD|27, 18, 26, 13, 41, 13, 7, 16, 16, 37, 38, 24, 37, 32, 24, 35, 40, 41, 37, 54, 51, 77, 47

https://www.kickstarter.com/projects/743105919/of-montreal-song-dynasties-feature-length-document|of Montreal "Song Dynasties" Feature-Length Documentary by of Montreal|usd|75,000|94,844|1|94844|0|Athens, GA|Music|831|6|2|84|27|18|$1.00 USD, $5 USD, $20 USD, $30 USD, $35 USD, $65 USD, $100 USD, $150 USD, $200 USD, $300 USD, $500 USD, $500 USD, $500 USD, $500 USD, $525 USD, $525 USD, $525 USD, $2,500 USD|13, 12, 12, 24, 23, 18, 37, 17, 57, 31, 15, 64, 14, 12, 24, 36, 30, 24






https://www.kickstarter.com/projects/madtempest/pixies-a-visual-history-exclusive-ltd-ed-hardcover|PIXIES: A Visual History (Exclusive Ltd. Ed. Hardcover) by Sean T. Rayburn|usd|150,000|234,450|2|117225|0|New York, NY|Music|853|6|2|464|32|11|$1.00 USD, $10 USD, $25 USD, $35 USD, $75 USD, $100 USD, $150 USD, $200 USD, $400 USD, $500 USD, $1,000 USD|24, 42, 62, 56, 90, 92, 108, 62, 77, 110, 98



https://www.kickstarter.com/projects/stevegrand/all-american-boy-the-album|"All-American Boy" - The Album by Steve Grand|usd|81,000|326,593|4|81648|0|Chicago, IL|Rock|2991|4|1|418|19|21|$5 USD, $10 USD, $15 USD, $25 USD, $25 USD, $50 USD, $75 USD, $100 USD, $150 USD, $200 USD, $300 USD, $400 USD, $500 USD, $1,000 USD, $1,000 USD, $2,000 USD, $2,000 USD, $3,000 USD, $5,000 USD, $5,000 USD, $10,000 USD|54, 22, 25, 33, 39, 42, 37, 43, 51, 61, 50, 70, 60, 70, 74, 59, 92, 113, 84, 94, 102

https://www.kickstarter.com/projects/amandapalmer/amanda-palmer-the-new-record-art-book-and-tour|Amanda Palmer: The new RECORD, ART BOOK, and TOUR by Amanda Palmer|usd|100,000|1,192,793|24|49699|0|Boston, MA|Music|2041|16|1|1|26|24|$1.00 USD, $5 USD, $25 USD, $50 USD, $100 USD, $125 USD, $250 USD, $250 USD, $300 USD, $300 USD, $300 USD, $300 USD, $300 USD, $300 USD, $300 USD, $300 USD, $500 USD, $500 USD, $1,000 USD, $1,000 USD, $1,000 USD, $5,000 USD, $10,000 USD, $10,000 USD|12, 80, 29, 39, 55, 73, 119, 146, 117, 121, 132, 124, 124, 120, 141, 155, 73, 90, 132, 145, 154, 176, 216, 179
